id,total,estante,n_ingreso,code,title,author,editorial,position,room,,,,,,,,,,,,,,,
270,14,1 -1 -  A,11628,118 / C230   E:1,Los estoicos Antiguos,"intrducción, traducción y notas de Ángel J. Cappelletti",Editorial Gredos,14,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
271,15,1 -1 -  A,11846,188 / C346  T.I   E:1,Testimonios y fragmentos I : testimonios. Fragmentos 1-318,"Crisipo de Solos ; introducción, selección de textos, traducción y notas de F. Javier Campos Daroca y Mariano Nava Contreras",Editorial Gredos,15,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
272,16,1 -1 -  A,11848,188 / C347  T.II   E:1,Testimonios y fragmentos II : Fragmentos 319-606,Crisipo de Solos , traducción y notas de F. Javier Campos Daroca y Mariano Nava Contreras,Editorial Gredos,16,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
273,17,1 -1 -  A,11912,208 / C387   E:1,Confesiones,San Agustín,Editorial Gredos,17,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
274,18,1 -1 -  A,11664,209 / C249  E:1,Historia Evangélica,"Juvenco; introducción, traducción y notas de Miguel Castillo Bejarano",Editorial Gredos,18,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
275,19,1 -1 -  A,11874,210 / C364   E:1,La Ciudad de Dios,San Agustín,Editorial Gredos,19,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
276,20,1 -1 -  A,11334,211 / C59  T.I   E:1,Los Gnósticos I,"Introducciones, traducción y notas José Montserrat Torrents",Editorial Gredos,20,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
277,21,1 -1 -  A,11570,230 / C199   E:1,Protréptico,"Clemente de Alejandría ; introducción, traducción y notas de M.Consolación Isart Hernández",Editorial Gredos,21,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
278,22,1 -1 -  A,11548,239 / C186   E:1,Himnos: tratados,"Sinesio de Cirene ; introducción, traducción y notas de Francisco Antonio García Romero",Editorial Gredos,22,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
279,23,1 -1 -  A,11732,239  / C285   E:1,Apologético / a los gentiles,"Tertuliano ; introducción , traducción y notas de Carmen Castillo García",Editorial Gredos,23,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
280,24,1 -1 -  A,11466,250 / C137   E:1,Instituciones divinas libros IV-VII,"Lactancio ; introducción, traducción y notas de E. Sánchez Salor",Editorial Gredos,24,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
281,25,1 -1 -  A,11263,292 / C17  T.II   E:1,Discursos I-V,Juliano,Editorial Gredos,25,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
282,26,1 -1 -  A,11310,292 / C45   E:1,Discursos VI-XII,"Juliano ; introducciones, traducción y notas de José García Blanco",Editorial Gredos,26,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
283,27,1 -1 -  A,11314,292  / C47   E:1,Contra los Galileos / Cartas y fragmentos / Testimonios / Leyes,"Juliano ; introducciones, traducción y notas por José García Blanco y Pilar Jiménez Gapazo",Editorial Gredos,27,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
284,28,1 -1 -  A,11379,292  / C85   E:1,Biblioteca,"Apolodoro; introducción de Javier Arce, traducción y notas de Margarita Rodríguez de Sepúlveda",Editorial Gredos,28,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
285,29,1 -1 -  A,11356,320 / C72   E:1,Sobre la república,"Cicerón ; introducción, traducción, Apéndice y notas de Álvaro D`ors",Editorial Gredos,29,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
286,30,1 -1 -  A,11432,320   / C116   E:1,Política,"Aristóteles ; introducción, traducción y notas de Manuela García Valdés",Editorial Gredos,30,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
287,31,1 -1 -  A,11902,320 / C381   E:1,las leyes,"Marco Tulio Cicerón; traducción, introducción y notas de Carmen Teresa Pabón de Acuña",Editorial Gredos,31,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
288,32,1 -1 -  A,11502,355.4  / C157   E:1,Poliorcética : Estratagemas,"Eneas el Táctico – Polieno ; introducciónes,traducciones y notas de José Vela Tejada y Francisco Martín Garcia",Editorial Gredos,32,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
289,33,1 -1 -  A,11646,370 / C239   E:1,Contra los profesores libros I-VI,"Sexto Empírico ; introducción, traducción y notas de Jorge Bergua Cavero",Editorial Gredos,33,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
290,34,1 -1 -  A,11434,371.3  / C118   E:1,El pedagogo,"Clemente de Alejandría ; introducción por Ángel Castiñeira Fernández, traducción y notas por Joan Sariol Díaz",Editorial Gredos,34,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
291,35,1 -1 -  A,11894,415 / C375   E:1,Arte Gramática, libro I,"Carisio; introdución, traducción y notas de Javier Uría",Editorial Gredos,35,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
292,36,1 -1 -  A,11668,472  / C251  T.I   E:1,La lengua latina libros V-VI,"Varrón ; introducción, traducción y notas de Luis Alfonso Hernández Miguel",Editorial Gredos,36,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
293,37,1 -1 -  A,11670,472 / C252  T.II   E:1,La lengua latina libros VII-X y Fragmentos,"Varrón ; introducción, traducción y notas de Luis Alfonso Hernández Miguel",Editorial Gredos,37,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
294,38,1 -1 -  A,11404,485 / C100   E:1,Sintaxis,"Apolonio Díscolo ; introducción, traducción y notas por Vicente Bécares Botas",Editorial Gredos,38,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
295,39,1 -1 -  A,11506,510  / C159   E:1,Geografía : libros I-II,"Estrabón ;introduccíon general de J. García Blanco, traduccion y nótas de J.L. García Ramón y J.Garcia Blanco",Editorial Gredos,39,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
296,40,1 -1 -  A,11522,510  / C169   E:1,Geografías : libros III-VI,"Estrabón ; traducciones, introducciones y notas de M.José Meana y Félix Piñero",Editorial Gredos,40,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
297,41,1 -1 -  A,11738,510 / C288  T.III   E:1,Geografía : libros V-VII,Estrabón , traducción y notas de José Vela Tejada y Jesús Gracia Altar,Editorial Gredos,41,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
298,42,1 -1 -  A,11740,510 / C289  T.IV  E:1,Geografía : libros VIII-X,Estrabón , traducción y notas de Juan JoséTorres Esbarranch,Editorial Gredos,42,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
299,43,1 -1 -  A,11772,510  / C306   T.V   E:1,Geografía  - libros XI-XIV,Estrabón,Editorial Gredos,43,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
300,44,1 -1 -  A,11554,512 / C191  T.II   E:1,Elementos: libros V-IX,Euclides ,  traducción y notas de María Luisa Puertas Castaños,Editorial Gredos,44,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
301,45,1 -1 -  A,11498,514  / C155   E:1,Elementos : libros I-IV,"Euclides  ; introducción de Luis Vega, traducción y notas de María Luisa Puertas Castaños",Editorial Gredos,45,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
302,46,1 -1 -  A,11624,510.076 / C228   E:1,Elementos : libros X-XIII,Euclides , traducción y notas de María Luisa Puertas Castaños,Editorial Gredos,46,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
303,47,1 -1 -  A,11822,516 / C333  T.I   E:1,Tratados I / comentarios,Arquímedes y Eutocio,Editorial Gredos,47,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
304,48,1 -1 -  A,11534,520 / C178    E:1,Fenómenos : introducción a los fenómenos,"Arato – Gémino ; introducciones, traducciones y notas de Esteban Calderón Dorda",Editorial Gredos,48,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
305,49,1 -1 -  A,11626,551 / C229   E:1,Acerca de cielo /  metereológicos,"Aristóteles ; introducción , traducción y notas de Miguel Candel",Editorial Gredos,49,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
306,50,1 -1 -  A,11754,520 / C296   E:1,Fenómenos / descripción del orbe terrestre / costas marinas,Avieno,Editorial Gredos,50,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
307,1,2 / A,11582,525 / C206  T.I   E:1,Historia natural , libros I-II,"Plinio el viejo ; introducción general Guy Serbat , traducción  y notas de Antonio Fontán ,Ana M. Moure Casas y otros",Editorial Gredos,1,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
308,2,2 / A,11666,525 / C250  T.II   E:1,Historia Natural libros III-VI,"Plinio el viejo ; traducción y notas de Antonio Fontán, Ignacio García, Arribas Encarnación del Barrio, M. Luisa Arribas",Editorial Gredos,2,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
309,3,2 / A,11914,525 / C388   E:1,Historia natural. Libros XII-XVI,Plinio el viejo,Editorial Gredos,3,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
310,4,2 / A,11578,530 / C203   E:1,Fisica,"Aristóteles ; introducción , traducción y notas de Guillermo R. De Echandia",Editorial Gredos,4,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
311,5,2 / A,11718,530 / C277   E:1,Sobre las líneas indivisibles-Mecánica /  Óptica- catóptrica-fenómenos,"Aristóteles; Euclides Introducción , traducción y notas de PalomaOrtiz Garcia",Editorial Gredos,5,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
312,6,2 / A,11426,581 / C112   E:1,Historia de las plantas,"Teofrasto ; introducción, traducción y notas po José María Díaz-Regañón López",Editorial Gredos,6,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
313,7,2 / A,11672,581 / C253  T.I   E:1,Plantas y remedios Medicinales (de materia medica) libros I-III,"Dioscórides : introducción, traducción y notas de Manuela García Valdés",Editorial Gredos,7,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
314,8,2 / A,11674,581 / C254  T.II  E:1,Plantas y remedios Medicinales (de materia medica) libros IV-V . Pseudo Dioscórides,Dioscórides : traducción y notas de Manuela García Valdés,Editorial Gredos,8,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
315,9,2 / A,11344,591 / C66   E:1,Historia de los animales libros I-VIII,"Claudio Eliano ; introducción, traducción y notas por José María Díaz-Regañón López",Editorial Gredos,9,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
316,10,2 / A,11346,591 / C67   E:1,Historia de los animales libros IX-XVII,Claudio Eliano , traducción y notas por José María Díaz-Regañón López,Editorial Gredos,10,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
317,11,2 / A,11524,591 / C171   E:1,Investigación sobre los animales,"Aristóteles ; introducción de Carlos García Gual ,traducción y notas de Julio Pallí Bonet",Editorial Gredos,11,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
318,12,2 / A,11574,591  / C201   E:1,Reproducción de los animales,"Aristóteles ; introducción , traducción y notas de Ester Sánchez",Editorial Gredos,12,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
319,13,2 / A,11730,591  / C283   E:1,"Partes de los animales, marcha de los animales, movimiento de los animales","Aristóteles ; introducciones, traducciones y notas de Elvira Jiménez Sánchez- Escariche y Almudena Alonso Miguel",Editorial Gredos,13,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
320,14,2 / A,11764,609 / C301   E:1,Tratados filosóficos y autobiográficos,Galeno,Editorial Gredos,14,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
321,15,2 / A,11338,610 / C63  T.I   E:1,Tratados Hipocráticos I,"Introducción general de Carlos García Gual ; introducciones, traducciones y notas por C. García Gual, M. D. Lara Nava, J. A. López Férez, B. Cabellos Álvarez",Editorial Gredos,15,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
322,16,2 / A,11387,610 / C90  T.II   E:1,Tratados Hipocráticos II,"Introducciones, traducciones y notas por J. A. López Férez y E. García Novo",Editorial Gredos,16,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
323,17,2 / A,11389,610 / C91  T.III   E:1,Tratados hipocráticos III,"Introducciones, traducciones y notas por C. García Gual, J. M. Lucas de Dios, B. Cabello Álvarez, I. Rodríguez Alfageme",Editorial Gredos,17,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
324,18,2 / A,11430,610 / C114  T.IV   E:1,Tratados Hipocráticos IV,"Traducción y notas por Lourdes sanz Mingote, introducción e índices por José Antonio Ochoa Anadón",Editorial Gredos,18,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
325,19,2 / A,11448,610 / C126  T.V   E:1,Tratados hipocráticos V : epidemias,"traducción, introducciones y notas de Alicia Esteban, Elsa García Novo y Beatriz Cabellos",Editorial Gredos,19,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
326,20,2 / A,11478,610 / C143  T.VI   E:1,Tratados Hipocráticos : VI enfermedades,"Traducciones, introducciones y notas de Assela Alamillo Sanz y M. Dolores Lara Nava",Editorial Gredos,20,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
327,21,2 / A,11528,610 / C175  T.VII   E:1,"Tratados Hipocráticos : VII  tratados quirúrgicos, sobre las heridas en la cabeza,sobre el dispensarío medico, sobre las fracturas, sobre las articulaciones, instrumentos de reducción, sobre las fístulas, sobre las hemorroides, sobre las úlceras","Introducciónes, traducciones y notas por M. Dolores Lara, Helena Torres y Beatriz Cabellos",Editorial Gredos,21,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
328,22,2 / A,11774,610  / C307  T.VIII   E:1,Tratados Hipocráticos  VIII, naturaleza del hombre, lugares en el hombre, carnes, corazón, naturaleza de los huesos, generación, naturaleza del niño, enfermedades IV, parto de ocho meses, parto de siete meses, dentición, visión, glándulas, anatomía, seman,"Introducciones, traducciones y notas por De la Villa Polo, Jesús",Editorial Gredos,22,SALA MARIO VARGAS LLOSA
329,23,2 / A,11770,611 / C305   E:1,Procedimientos anatómicos -  libro I-IX,Galeno,Editorial Gredos,23,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
330,24,2 / A,11784,612 / C313    E:1,Sobre las facultades naturales / las facultades del alma siguen  / los temperamentos del cuerpo,Galeno,Editorial Gredos,24,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
331,25,2 / A,11662,616 / C248   E:1,Sobre la Localización de las enfermadades (de locis affectis),Galeno , introduccioneas de Luis García Ballester , traducción y notas de Salud Andrés Aparicio,Editorial Gredos,25,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,
332,26,2 / A,11814,630  / C329  T.I   E:1,Libro de los árboles /  la labranza - libros I-V,Columela,Editorial Gredos,26,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
333,27,2 / A,11464,633 / C135   E:1,Tratado de agricultura / Medicina veterinaria / poema de los injertos,"Paladio ; traducción, introducción y notas de Ana Moure Casas",Editorial Gredos,27,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
334,28,2 / A,11700,636 / C267   E:1,Medicina Veterinaria,"Venecio; Introducción, traducción, y notas de José María Robles Gómez",Editorial Gredos,28,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
335,29,2 / A,11880,720 / C367   E:1,Arquitectura Libros I-V,Vitruvio,Editorial Gredos,29,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
336,30,2 / A,11600,780  / C216   E:1,Sobre la música,"Arístides Quintillano ; introducción, traducción y notas de Luis Colomer y Begoña Gil",Editorial Gredos,30,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
337,31,2 / A,11866,780/ C359   E:1,Sobre la Música, seis libros,"San Agustín; Introducción, traducción y notas de Jesús Luque Moreno y Antonio López Eisman",Editorial Gredos,31,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
338,32,2 / A,11898,780 / C377   E:1,Sobre el fundamento de la Música, cinco libros,"Boecio; introducción, traducción y notas de Jesus Luque, Francisco Fuentes, Carlos López, Pedro R. Díaz y Mariano Madrid.",Editorial Gredos,32,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,
339,33,2 / B,5610,808 .88 / A42,El Libro de Saladino,"Ali, Tariq",Alianza Editorial,1,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
340,34,2 / B,5627,808 .88 / A42L,La mujer de piedra,"Ali, Tariq",Alianza Editorial,2,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
341,35,2 / B,5662,808 .88 / A46,Breve historia de la literatura española,"Carlos Alvar, José-Carlos Mainer y Rosa Navarro",Alianza Editorial,3,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
342,36,2 / B,5452,808.88 / A55,Para que nada se pierda,"Amoraga, Carmen",Alianza  Editorial,4,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
343,37,2 / B,5460,808.88 / A62,Botas de cuero español,"Antolín Rato, Mariano",Alianza  Editorial,5,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
344,38,2 / B,5550,808.88 / A79,Estoy en puertomarte sin Hilda y otros cuentos,"Asimov, Isaac",Alianza Editorial,6,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
345,39,2 / B,5606,808.88 / A87,Resurgir,"Atwood, Margaret",Alianza Editorial,7,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
346,40,2 / B,5457,808.88 / B24,Paseos por Madrid,"Barga, Corpus : Edición de Arturo Ramoneda",Alianza  Editorial,8,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
347,41,2 / B,5573,808.88 / B34,El innombrable,"Beckett, Samuel",Alianza Editorial,9,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
348,42,2 / B,5589,808.88 / B34M,Malone muerte,"Beckett, Samuel",Alianza Editorial,10,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
349,43,2 / B,5524,808.88 / B82,El interrogatorio de Lúculo, El alma buena de Sezuán, El señor puntila y su criado Matti,"Brecht, Bertolt",Alianza Editorial,11,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,
350,44,2 / B,5525,808.88 / C28,El delfín,"Cardoso Pires, José : Traducción de Javier Casanova",Alianza Editorial,12,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
351,45,2 / B,5552,808.88 / C32M  Vol.1,"Los mejores cuentos policiales, 1",Selección de Adolfo Bioy Casares y Jorge Luis Borges,Alianza  Editorial:Emecé,13,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
352,46,2 / B,5590,808.88 / C32M  Vol.2,"Los mejores cuentos policiales, 2",Selección de Adolfo Bioy Casares y Jorge Luis Borges,Alianza Editorial,14,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
353,47,2 / B,5539,808.88 / C38,Antología Poética,"C. P. Cavafis : Selección, traducción del griego, introducción y notas de Pedro Bádenas de la Peña",Alianza Editorial,15,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
354,48,2 / B,5582,808.88 / C68,Cuentos de la taberna del ciervo blanco,"Clarke, Arthur C.",Alianza Editorial,16,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
355,49,2 / B,5618,808 .88 / C81A,El agente secreto,"Conrad, Joseph :Prólogo y traducción de Alberto Adell",Alianza Editorial,17,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
356,50,2 / B,5563,808.88 / D11,El amante de Lady Chatterley,D. H. Lawrence : Traducción de Francisco Torres Oliver,Alianza Editorial,18,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
357,51,2 / B,5607,808.88 / D47,Lejos de Medina,"Djebar, Assia",Alianza Editorial,19,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
358,52,2 / B,5640,808 .88 / E41,Tiempo de un centenario,"Eliade, Mircea",Alianza Editorial,20,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
359,53,2 / B,5601,808.88 / F55,A este lado del paraíso,"Fitzgerald, F. Scott : Traducción de Juan Benet Goitia",Alianza Editorial,21,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
360,54,2 / B,5626,808 .88 / F55H,Hermosos y malditos,"Fitzgerald, F. Scott : Traducción de José Luis López  Muños",Alianza Editorial,22,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
361,55,2 / B,5599,808.88 / F75,Maurice,"Forster, E. M. Introducción de P. N. Furbank",Alianza Editorial,23,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
362,56,2 / B,5511,808.88 / G59,El señor de las moscas,"Golding, Willian",Alianza Editorial,24,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
363,57,2 / B,5602,808.88 / G59E,El dios escorpión,"Golding, Willian",Alianza Editorial,25,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
364,58,2 / B,5521,808.88 / G77,"Yo, Claudio","Graves, Robert",Alianza Editorial,26,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
365,59,2 / B,5522,808.88 / G77C,Claudio el dios y su esposa Mesalina,"Graves, Robert",Alianza Editorial,27,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
366,60,2 / B,5575,808.88 / G79,El tercer hombre,"Greene, Graham",Alianza Editorial,28,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
367,61,2 / B,5588,808.88 / G79N,Nuestro hombre en la habana,"Greene, Graham",Alianza Editorial,29,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
368,62,2 / B,5557,808.88 / J79,Retrato del artista adolescente,"Joyse, James : Traducción de Dámaso Alonso",Alianza Editorial,30,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
369,63,2 / B,5561,808.88 / J79D,Dublineses,"Joyse, James : Traducción de Guillermo Cabrera Infante",Alianza Editorial,31,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
370,64,2 / B,5611,808 .88 / K49,Lo que Sueñan Los Lobos,"Khadra, yasmina",Alianza Editorial,32,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
371,65,2 / B,5609,808.88 / K72,La hora estelar de los asesinos,"Kohout, Pavel",Alianza Editorial,33,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
372,66,2 / B,5614,808.88 / L21G,El Gatopardo,"Lampedusa ,Di Giuseppe Tomasi",Alianza Editorial,34,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
373,67,2 / B,5546,808.88 / M11,Las escalas de levante,"Maalouf, Amin",Alianza Editorial,35,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
374,68,2 / B,5572,808.88 / M11E,El viaje de badassare,"Maalouf, Amin",Alianza Editorial,36,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
375,69,2 / B,5571,808.88 / M11L,Los jardines de luz,"Maalouf, Amin",Alianza Editorial,37,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
376,70,2 / B,5537,808.88 / M22,Amlet,"Manguel, Alberto : Antología del relato fantástico",Alianza Editorial,38,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
377,71,2 / B,5548,808.88 / M22T,La torre de la soledad,"Manfredi, Valerio",Alianza Editorial,39,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
378,72,2 / B,5592,808.8 / M58,El tiempo de los asesinos,"Miller, Henry",Alianza Editorial,40,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
379,73,2 / B,5538,808.88 / M223,Las puertas del paraíso,"Manguel, Alberto : Antología del relato erótico",Alianza Editorial,41,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
380,74,2 / C,5560,808.88 / N16,Jan Aljalili,Naguib Mahfuz,Alianza Editorial,1,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
381,75,2 / C,5577,808.88 / N16C,El cairo nuevo,Naguib Mahfuz,Alianza Editorial,2,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
382,76,2 / C,5529,808.88 / R18,Cartas a un joven poeta,Rainer Maria Rilke : Traducción y nota preliminar de José Maria Velarde,Alianza Editorial,3,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
383,77,2 / C,5510,808.88 / S17,El guardián entre el centeno,J. D. Salinger,Alianza Editorial,4,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
384,78,2 / C,5638,808 .88 / S17E,El guardián entre el centeno,J. D. Salinger,Alianza Editorial,5,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
385,79,2 / C,5568,808.88 / S17F,Franny y Zooey,J. D. Salinger,Alianza Editorial,6,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
386,80,2 / C,5535,808.88 / S174,Nueve cuentos,J. D. Salinger,Alianza Editorial,7,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
387,81,2 / C,5600,808.88 / T22,A la sombra del granado,Tariq Alí,Alianza Editorial,8,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
388,82,2 / C,5576,808.88 / V21,El cementerio marino ( Edición bilingúe),"Valéry, Paul : Versión castellana de Jorge Guillén",Alianza Editorial,9,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
389,83,2 / C,5531,808.88 / V61,La espuma de los días,"Vian, Boris",Alianza Editorial,10,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
390,84,2 / C,5543,808.88 / V61C,Con las mujeres no hay manera,"Vian, Boris",Alianza Editorial,11,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
391,85,2 / C,5629,808 .88 / V61H,Las hormigas,"Vian, Boris",Alianza Editorial,12,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
392,86,2 / C,5622,808 .88 / W44,La guerra de los mundos,"Wells,Herbert George",Alianza Editorial,13,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
393,87,2 / C,5653,808 .88 / W57,Antología bilingúe,"Williams, Willian Carlos : Selección, introducción y traducción de Juan Miguel López Merino",Alianza Editorial,14,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
394,88,2 / C,5586,808.88 / Y44,Antología bilingúe,W. B Yeats : Introducción y traducción de Enrique Caracciolo Trejo,Alianza Editorial,15,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
395,89,2 / C,5467,808.88 / A39,Antología Poética,"Aleixandre, Vicente : Estudio previo, selección de Leopoldo de Luis",Alianza  Editorial,16,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
396,90,2 / C,5443,808.88 / B24,Cuentos,"Baroja, Pío",Alianza  Editorial,17,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
397,91,2 / C,5459,808.88 / B24F,La feria de los discretos,"Baroja, Pío",Alianza  Editorial,18,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
398,92,2 / C,5434,808.88 / C46,La colmena,"Cela, Camilo José: Prólogo de Gonzalo Sobejano",Alianza  Editorial,19,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
399,93,2 / C,5448,808.88 / C48,Antologia Poética,"Cernuda, Luis : Selección e introducción de Philip W. Silver",Alianza  Editorial,20,SALA MARIO VARGAS LLOSA,,,,,,,,,,,,,,,
